"","clinical_trial_study_id","clinical_trial_sponsor","clinical_trial_phase","location_continent","study_eligibility_standard_age_list","outcome_overview_time_frame","outcome_overview_assay","outcome_overview_dose_number","outcome_overview_serotype","outcome_overview_value","outcome_overview_upper_limit","outcome_overview_lower_limit","outcome_overview_vaccine","outcome_overview_dose_description","outcome_overview_schedule","outcome_overview_time_frame_weeks"
"501","NCT03547167","Merck Sharp & Dohme LLC","Phase 3","North America,Australia & Oceania,North America,Europe,North America,North America,Europe Asia,Australia & Oceania,North America,North America,Europe,North America,Australia & Oceania,North America,North America,North America,North America,Europe Asia,North America,North America,North America,North America,North America,South America,North America,North America,South America,North America,Australia & Oceania,North America,Europe,North America,Australia & Oceania,North America,North America,North America,Australia & Oceania,North America,Australia & Oceania,North America,Europe,North America,Europe Asia,Europe,Australia & Oceania,South America,Australia & Oceania,Europe,North America,Australia & Oceania,Europe,Europe,North America,North America,North America,North America,North America,North America,North America,North America,Australia & Oceania,North America,North America,North America,North America,North America,Europe,Australia & Oceania,North America,North America,South America,South America,Australia & Oceania,North America,North America,Australia & Oceania,North America,North America","[""Adult""]","Day 30","GMC",1,"19A",21.79,25.19,18.85,"PCV13","1m post dose 1 adult","2 dose adult",0
"502","NCT03547167","Merck Sharp & Dohme LLC","Phase 3","North America,Australia & Oceania,North America,Europe,North America,North America,Europe Asia,Australia & Oceania,North America,North America,Europe,North America,Australia & Oceania,North America,North America,North America,North America,Europe Asia,North America,North America,North America,North America,North America,South America,North America,North America,South America,North America,Australia & Oceania,North America,Europe,North America,Australia & Oceania,North America,North America,North America,Australia & Oceania,North America,Australia & Oceania,North America,Europe,North America,Europe Asia,Europe,Australia & Oceania,South America,Australia & Oceania,Europe,North America,Australia & Oceania,Europe,Europe,North America,North America,North America,North America,North America,North America,North America,North America,Australia & Oceania,North America,North America,North America,North America,North America,Europe,Australia & Oceania,North America,North America,South America,South America,Australia & Oceania,North America,North America,Australia & Oceania,North America,North America","[""Adult""]","Day 30","GMC",1,"23F",13.57,14.8,12.44,"PCV15","1m post dose 1 adult","2 dose adult",0
"503","NCT03547167","Merck Sharp & Dohme LLC","Phase 3","North America,Australia & Oceania,North America,Europe,North America,North America,Europe Asia,Australia & Oceania,North America,North America,Europe,North America,Australia & Oceania,North America,North America,North America,North America,Europe Asia,North America,North America,North America,North America,North America,South America,North America,North America,South America,North America,Australia & Oceania,North America,Europe,North America,Australia & Oceania,North America,North America,North America,Australia & Oceania,North America,Australia & Oceania,North America,Europe,North America,Europe Asia,Europe,Australia & Oceania,South America,Australia & Oceania,Europe,North America,Australia & Oceania,Europe,Europe,North America,North America,North America,North America,North America,North America,North America,North America,Australia & Oceania,North America,North America,North America,North America,North America,Europe,Australia & Oceania,North America,North America,South America,South America,Australia & Oceania,North America,North America,Australia & Oceania,North America,North America","[""Adult""]","Day 30","GMC",1,"22F",6.22,6.74,5.74,"PCV15","1m post dose 1 adult","2 dose adult",0
"504","NCT03547167","Merck Sharp & Dohme LLC","Phase 3","North America,Australia & Oceania,North America,Europe,North America,North America,Europe Asia,Australia & Oceania,North America,North America,Europe,North America,Australia & Oceania,North America,North America,North America,North America,Europe Asia,North America,North America,North America,North America,North America,South America,North America,North America,South America,North America,Australia & Oceania,North America,Europe,North America,Australia & Oceania,North America,North America,North America,Australia & Oceania,North America,Australia & Oceania,North America,Europe,North America,Europe Asia,Europe,Australia & Oceania,South America,Australia & Oceania,Europe,North America,Australia & Oceania,Europe,Europe,North America,North America,North America,North America,North America,North America,North America,North America,Australia & Oceania,North America,North America,North America,North America,North America,Europe,Australia & Oceania,North America,North America,South America,South America,Australia & Oceania,North America,North America,Australia & Oceania,North America,North America","[""Adult""]","Day 30","GMC",1,"1",4.59,5.26,4,"PCV13","1m post dose 1 adult","2 dose adult",0
"505","NCT03547167","Merck Sharp & Dohme LLC","Phase 3","North America,Australia & Oceania,North America,Europe,North America,North America,Europe Asia,Australia & Oceania,North America,North America,Europe,North America,Australia & Oceania,North America,North America,North America,North America,Europe Asia,North America,North America,North America,North America,North America,South America,North America,North America,South America,North America,Australia & Oceania,North America,Europe,North America,Australia & Oceania,North America,North America,North America,Australia & Oceania,North America,Australia & Oceania,North America,Europe,North America,Europe Asia,Europe,Australia & Oceania,South America,Australia & Oceania,Europe,North America,Australia & Oceania,Europe,Europe,North America,North America,North America,North America,North America,North America,North America,North America,Australia & Oceania,North America,North America,North America,North America,North America,Europe,Australia & Oceania,North America,North America,South America,South America,Australia & Oceania,North America,North America,Australia & Oceania,North America,North America","[""Adult""]","Day 30","GMC",1,"23F",10.98,12.91,9.34,"PCV13","1m post dose 1 adult","2 dose adult",0
"506","NCT03547167","Merck Sharp & Dohme LLC","Phase 3","North America,Australia & Oceania,North America,Europe,North America,North America,Europe Asia,Australia & Oceania,North America,North America,Europe,North America,Australia & Oceania,North America,North America,North America,North America,Europe Asia,North America,North America,North America,North America,North America,South America,North America,North America,South America,North America,Australia & Oceania,North America,Europe,North America,Australia & Oceania,North America,North America,North America,Australia & Oceania,North America,Australia & Oceania,North America,Europe,North America,Europe Asia,Europe,Australia & Oceania,South America,Australia & Oceania,Europe,North America,Australia & Oceania,Europe,Europe,North America,North America,North America,North America,North America,North America,North America,North America,Australia & Oceania,North America,North America,North America,North America,North America,Europe,Australia & Oceania,North America,North America,South America,South America,Australia & Oceania,North America,North America,Australia & Oceania,North America,North America","[""Adult""]","Day 30","GMC",1,"19F",13.35,15.47,11.52,"PCV13","1m post dose 1 adult","2 dose adult",0
"507","NCT03547167","Merck Sharp & Dohme LLC","Phase 3","North America,Australia & Oceania,North America,Europe,North America,North America,Europe Asia,Australia & Oceania,North America,North America,Europe,North America,Australia & Oceania,North America,North America,North America,North America,Europe Asia,North America,North America,North America,North America,North America,South America,North America,North America,South America,North America,Australia & Oceania,North America,Europe,North America,Australia & Oceania,North America,North America,North America,Australia & Oceania,North America,Australia & Oceania,North America,Europe,North America,Europe Asia,Europe,Australia & Oceania,South America,Australia & Oceania,Europe,North America,Australia & Oceania,Europe,Europe,North America,North America,North America,North America,North America,North America,North America,North America,Australia & Oceania,North America,North America,North America,North America,North America,Europe,Australia & Oceania,North America,North America,South America,South America,Australia & Oceania,North America,North America,Australia & Oceania,North America,North America","[""Adult""]","Day 30","GMC",1,"9V",5.31,6.1,4.62,"PCV13","1m post dose 1 adult","2 dose adult",0
"508","NCT03547167","Merck Sharp & Dohme LLC","Phase 3","North America,Australia & Oceania,North America,Europe,North America,North America,Europe Asia,Australia & Oceania,North America,North America,Europe,North America,Australia & Oceania,North America,North America,North America,North America,Europe Asia,North America,North America,North America,North America,North America,South America,North America,North America,South America,North America,Australia & Oceania,North America,Europe,North America,Australia & Oceania,North America,North America,North America,Australia & Oceania,North America,Australia & Oceania,North America,Europe,North America,Europe Asia,Europe,Australia & Oceania,South America,Australia & Oceania,Europe,North America,Australia & Oceania,Europe,Europe,North America,North America,North America,North America,North America,North America,North America,North America,Australia & Oceania,North America,North America,North America,North America,North America,Europe,Australia & Oceania,North America,North America,South America,South America,Australia & Oceania,North America,North America,Australia & Oceania,North America,North America","[""Adult""]","Day 30","GMC",1,"19A",19.41,20.93,18,"PCV15","1m post dose 1 adult","2 dose adult",0
"509","NCT03547167","Merck Sharp & Dohme LLC","Phase 3","North America,Australia & Oceania,North America,Europe,North America,North America,Europe Asia,Australia & Oceania,North America,North America,Europe,North America,Australia & Oceania,North America,North America,North America,North America,Europe Asia,North America,North America,North America,North America,North America,South America,North America,North America,South America,North America,Australia & Oceania,North America,Europe,North America,Australia & Oceania,North America,North America,North America,Australia & Oceania,North America,Australia & Oceania,North America,Europe,North America,Europe Asia,Europe,Australia & Oceania,South America,Australia & Oceania,Europe,North America,Australia & Oceania,Europe,Europe,North America,North America,North America,North America,North America,North America,North America,North America,Australia & Oceania,North America,North America,North America,North America,North America,Europe,Australia & Oceania,North America,North America,South America,South America,Australia & Oceania,North America,North America,Australia & Oceania,North America,North America","[""Adult""]","Day 30","GMC",1,"6B",17.9,19.76,16.21,"PCV15","1m post dose 1 adult","2 dose adult",0
"510","NCT03547167","Merck Sharp & Dohme LLC","Phase 3","North America,Australia & Oceania,North America,Europe,North America,North America,Europe Asia,Australia & Oceania,North America,North America,Europe,North America,Australia & Oceania,North America,North America,North America,North America,Europe Asia,North America,North America,North America,North America,North America,South America,North America,North America,South America,North America,Australia & Oceania,North America,Europe,North America,Australia & Oceania,North America,North America,North America,Australia & Oceania,North America,Australia & Oceania,North America,Europe,North America,Europe Asia,Europe,Australia & Oceania,South America,Australia & Oceania,Europe,North America,Australia & Oceania,Europe,Europe,North America,North America,North America,North America,North America,North America,North America,North America,Australia & Oceania,North America,North America,North America,North America,North America,Europe,Australia & Oceania,North America,North America,South America,South America,Australia & Oceania,North America,North America,Australia & Oceania,North America,North America","[""Adult""]","Day 30","GMC",1,"5",4.48,5.32,3.77,"PCV13","1m post dose 1 adult","2 dose adult",0
"511","NCT03547167","Merck Sharp & Dohme LLC","Phase 3","North America,Australia & Oceania,North America,Europe,North America,North America,Europe Asia,Australia & Oceania,North America,North America,Europe,North America,Australia & Oceania,North America,North America,North America,North America,Europe Asia,North America,North America,North America,North America,North America,South America,North America,North America,South America,North America,Australia & Oceania,North America,Europe,North America,Australia & Oceania,North America,North America,North America,Australia & Oceania,North America,Australia & Oceania,North America,Europe,North America,Europe Asia,Europe,Australia & Oceania,South America,Australia & Oceania,Europe,North America,Australia & Oceania,Europe,Europe,North America,North America,North America,North America,North America,North America,North America,North America,Australia & Oceania,North America,North America,North America,North America,North America,Europe,Australia & Oceania,North America,North America,South America,South America,Australia & Oceania,North America,North America,Australia & Oceania,North America,North America","[""Adult""]","Day 30","GMC",1,"5",3.43,3.75,3.14,"PCV15","1m post dose 1 adult","2 dose adult",0
"512","NCT03547167","Merck Sharp & Dohme LLC","Phase 3","North America,Australia & Oceania,North America,Europe,North America,North America,Europe Asia,Australia & Oceania,North America,North America,Europe,North America,Australia & Oceania,North America,North America,North America,North America,Europe Asia,North America,North America,North America,North America,North America,South America,North America,North America,South America,North America,Australia & Oceania,North America,Europe,North America,Australia & Oceania,North America,North America,North America,Australia & Oceania,North America,Australia & Oceania,North America,Europe,North America,Europe Asia,Europe,Australia & Oceania,South America,Australia & Oceania,Europe,North America,Australia & Oceania,Europe,Europe,North America,North America,North America,North America,North America,North America,North America,North America,Australia & Oceania,North America,North America,North America,North America,North America,Europe,Australia & Oceania,North America,North America,South America,South America,Australia & Oceania,North America,North America,Australia & Oceania,North America,North America","[""Adult""]","Day 30","GMC",1,"22F",0.52,0.6,0.45,"PCV13","1m post dose 1 adult","2 dose adult",0
"513","NCT03480802","Merck Sharp & Dohme LLC","Phase 3","North America,Africa,Europe,Asia,North America,North America,North America,Asia,Africa,South America,Europe,South America,Europe","[""Adult"",""Older Adult""]","Week 12","GMC",2,"7F",3.17,3.87,2.6,"PCV13+PPV23","1m post dose 2 adult","2 dose adult",0
"514","NCT03480802","Merck Sharp & Dohme LLC","Phase 3","North America,Africa,Europe,Asia,North America,North America,North America,Asia,Africa,South America,Europe,South America,Europe","[""Adult"",""Older Adult""]","Week 12","GMC",2,"9V",3.24,4.01,2.62,"PCV13+PPV23","1m post dose 2 adult","2 dose adult",0
"515","NCT03480802","Merck Sharp & Dohme LLC","Phase 3","North America,Africa,Europe,Asia,North America,North America,North America,Asia,Africa,South America,Europe,South America,Europe","[""Adult"",""Older Adult""]","Week 12","GMC",2,"19F",5.84,7.3,4.67,"PCV13+PPV23","1m post dose 2 adult","2 dose adult",0
"516","NCT03480802","Merck Sharp & Dohme LLC","Phase 3","North America,Africa,Europe,Asia,North America,North America,North America,Asia,Africa,South America,Europe,South America,Europe","[""Adult"",""Older Adult""]","Week 12","GMC",2,"3",0.59,0.7,0.5,"PCV13+PPV23","1m post dose 2 adult","2 dose adult",0
"517","NCT03480802","Merck Sharp & Dohme LLC","Phase 3","North America,Africa,Europe,Asia,North America,North America,North America,Asia,Africa,South America,Europe,South America,Europe","[""Adult"",""Older Adult""]","Week 12","GMC",2,"6A",3.12,4.3,2.27,"PCV15+PPV23","1m post dose 2 adult","2 dose adult",0
"518","NCT03480802","Merck Sharp & Dohme LLC","Phase 3","North America,Africa,Europe,Asia,North America,North America,North America,Asia,Africa,South America,Europe,South America,Europe","[""Adult"",""Older Adult""]","Week 12","GMC",2,"1",2.8,3.49,2.25,"PCV15+PPV23","1m post dose 2 adult","2 dose adult",0
"519","NCT03480802","Merck Sharp & Dohme LLC","Phase 3","North America,Africa,Europe,Asia,North America,North America,North America,Asia,Africa,South America,Europe,South America,Europe","[""Adult"",""Older Adult""]","Week 12","GMC",2,"19A",8.54,10.72,6.8,"PCV13+PPV23","1m post dose 2 adult","2 dose adult",0
"520","NCT03480802","Merck Sharp & Dohme LLC","Phase 3","North America,Africa,Europe,Asia,North America,North America,North America,Asia,Africa,South America,Europe,South America,Europe","[""Adult"",""Older Adult""]","Week 12","GMC",2,"7F",2.45,3.15,1.91,"PCV15+PPV23","1m post dose 2 adult","2 dose adult",0
"521","NCT03480802","Merck Sharp & Dohme LLC","Phase 3","North America,Africa,Europe,Asia,North America,North America,North America,Asia,Africa,South America,Europe,South America,Europe","[""Adult"",""Older Adult""]","Week 12","GMC",2,"4",1.26,1.57,1.1,"PCV15+PPV23","1m post dose 2 adult","2 dose adult",0
"522","NCT03480802","Merck Sharp & Dohme LLC","Phase 3","North America,Africa,Europe,Asia,North America,North America,North America,Asia,Africa,South America,Europe,South America,Europe","[""Adult"",""Older Adult""]","Week 12","GMC",2,"9V",2.92,3.57,2.39,"PCV15+PPV23","1m post dose 2 adult","2 dose adult",0
"523","NCT03480802","Merck Sharp & Dohme LLC","Phase 3","North America,Africa,Europe,Asia,North America,North America,North America,Asia,Africa,South America,Europe,South America,Europe","[""Adult"",""Older Adult""]","Week 12","GMC",2,"19F",5.19,6.62,4.06,"PCV15+PPV23","1m post dose 2 adult","2 dose adult",0
"524","NCT03480802","Merck Sharp & Dohme LLC","Phase 3","North America,Africa,Europe,Asia,North America,North America,North America,Asia,Africa,South America,Europe,South America,Europe","[""Adult"",""Older Adult""]","Week 12","GMC",2,"23F",3.21,4.25,2.42,"PCV15+PPV23","1m post dose 2 adult","2 dose adult",0
"525","NCT03480802","Merck Sharp & Dohme LLC","Phase 3","North America,Africa,Europe,Asia,North America,North America,North America,Asia,Africa,South America,Europe,South America,Europe","[""Adult"",""Older Adult""]","Week 12","GMC",2,"6B",4.69,6.25,3.52,"PCV15+PPV23","1m post dose 2 adult","2 dose adult",0
"526","NCT03480802","Merck Sharp & Dohme LLC","Phase 3","North America,Africa,Europe,Asia,North America,North America,North America,Asia,Africa,South America,Europe,South America,Europe","[""Adult"",""Older Adult""]","Week 12","GMC",2,"22F",3.5,4.45,2.75,"PCV13+PPV23","1m post dose 2 adult","2 dose adult",0
"527","NCT03480802","Merck Sharp & Dohme LLC","Phase 3","North America,Africa,Europe,Asia,North America,North America,North America,Asia,Africa,South America,Europe,South America,Europe","[""Adult"",""Older Adult""]","Week 12","GMC",2,"14",14.37,18.36,11.25,"PCV13+PPV23","1m post dose 2 adult","2 dose adult",0
"528","NCT03480802","Merck Sharp & Dohme LLC","Phase 3","North America,Africa,Europe,Asia,North America,North America,North America,Asia,Africa,South America,Europe,South America,Europe","[""Adult"",""Older Adult""]","Week 12","GMC",2,"6A",3.71,5.03,2.74,"PCV13+PPV23","1m post dose 2 adult","2 dose adult",0
"529","NCT03480802","Merck Sharp & Dohme LLC","Phase 3","North America,Africa,Europe,Asia,North America,North America,North America,Asia,Africa,South America,Europe,South America,Europe","[""Adult"",""Older Adult""]","Week 12","GMC",2,"6B",4.35,5.86,3.23,"PCV13+PPV23","1m post dose 2 adult","2 dose adult",0
"530","NCT03480802","Merck Sharp & Dohme LLC","Phase 3","North America,Africa,Europe,Asia,North America,North America,North America,Asia,Africa,South America,Europe,South America,Europe","[""Adult"",""Older Adult""]","Week 12","GMC",2,"18C",3.96,4.95,3.18,"PCV13+PPV23","1m post dose 2 adult","2 dose adult",0
"531","NCT03480802","Merck Sharp & Dohme LLC","Phase 3","North America,Africa,Europe,Asia,North America,North America,North America,Asia,Africa,South America,Europe,South America,Europe","[""Adult"",""Older Adult""]","Week 12","GMC",2,"5",2.61,3.28,2.08,"PCV15+PPV23","1m post dose 2 adult","2 dose adult",0
"532","NCT03480802","Merck Sharp & Dohme LLC","Phase 3","North America,Africa,Europe,Asia,North America,North America,North America,Asia,Africa,South America,Europe,South America,Europe","[""Adult"",""Older Adult""]","Week 12","GMC",2,"18C",3.96,5.09,3.08,"PCV15+PPV23","1m post dose 2 adult","2 dose adult",0
"533","NCT03480802","Merck Sharp & Dohme LLC","Phase 3","North America,Africa,Europe,Asia,North America,North America,North America,Asia,Africa,South America,Europe,South America,Europe","[""Adult"",""Older Adult""]","Week 12","GMC",2,"1",4.04,5,3.27,"PCV13+PPV23","1m post dose 2 adult","2 dose adult",0
"534","NCT03480802","Merck Sharp & Dohme LLC","Phase 3","North America,Africa,Europe,Asia,North America,North America,North America,Asia,Africa,South America,Europe,South America,Europe","[""Adult"",""Older Adult""]","Week 12","GMC",2,"19A",7.23,9.02,5.8,"PCV15+PPV23","1m post dose 2 adult","2 dose adult",0
"535","NCT03480802","Merck Sharp & Dohme LLC","Phase 3","North America,Africa,Europe,Asia,North America,North America,North America,Asia,Africa,South America,Europe,South America,Europe","[""Adult"",""Older Adult""]","Week 12","GMC",2,"3",0.51,0.61,0.43,"PCV15+PPV23","1m post dose 2 adult","2 dose adult",0
"536","NCT03480802","Merck Sharp & Dohme LLC","Phase 3","North America,Africa,Europe,Asia,North America,North America,North America,Asia,Africa,South America,Europe,South America,Europe","[""Adult"",""Older Adult""]","Week 12","GMC",2,"5",2.13,2.68,1.69,"PCV13+PPV23","1m post dose 2 adult","2 dose adult",0
"537","NCT03480802","Merck Sharp & Dohme LLC","Phase 3","North America,Africa,Europe,Asia,North America,North America,North America,Asia,Africa,South America,Europe,South America,Europe","[""Adult"",""Older Adult""]","Week 12","GMC",2,"14",13.68,18.1,10.34,"PCV15+PPV23","1m post dose 2 adult","2 dose adult",0
"538","NCT03480802","Merck Sharp & Dohme LLC","Phase 3","North America,Africa,Europe,Asia,North America,North America,North America,Asia,Africa,South America,Europe,South America,Europe","[""Adult"",""Older Adult""]","Week 12","GMC",2,"4",1.61,1.98,1.31,"PCV13+PPV23","1m post dose 2 adult","2 dose adult",0
"539","NCT03480802","Merck Sharp & Dohme LLC","Phase 3","North America,Africa,Europe,Asia,North America,North America,North America,Asia,Africa,South America,Europe,South America,Europe","[""Adult"",""Older Adult""]","Week 12","GMC",2,"22F",3.94,5.05,3.07,"PCV15+PPV23","1m post dose 2 adult","2 dose adult",0
"540","NCT03480802","Merck Sharp & Dohme LLC","Phase 3","North America,Africa,Europe,Asia,North America,North America,North America,Asia,Africa,South America,Europe,South America,Europe","[""Adult"",""Older Adult""]","Week 12","GMC",2,"23F",3.74,4.91,2.85,"PCV13+PPV23","1m post dose 2 adult","2 dose adult",0
"541","NCT03480802","Merck Sharp & Dohme LLC","Phase 3","North America,Africa,Europe,Asia,North America,North America,North America,Asia,Africa,South America,Europe,South America,Europe","[""Adult"",""Older Adult""]","Week 12","OPA",2,"23F",1266.5,1698.5,944.3,"PCV13+PPV23","1m post dose 2 adult","2 dose adult",0
"542","NCT03480802","Merck Sharp & Dohme LLC","Phase 3","North America,Africa,Europe,Asia,North America,North America,North America,Asia,Africa,South America,Europe,South America,Europe","[""Adult"",""Older Adult""]","Week 12","OPA",2,"6B",3661.1,4900.6,2735.1,"PCV15+PPV23","1m post dose 2 adult","2 dose adult",0
"543","NCT03480802","Merck Sharp & Dohme LLC","Phase 3","North America,Africa,Europe,Asia,North America,North America,North America,Asia,Africa,South America,Europe,South America,Europe","[""Adult"",""Older Adult""]","Week 12","OPA",2,"6A",4065.4,5415.1,3052.1,"PCV15+PPV23","1m post dose 2 adult","2 dose adult",0
"544","NCT03480802","Merck Sharp & Dohme LLC","Phase 3","North America,Africa,Europe,Asia,North America,North America,North America,Asia,Africa,South America,Europe,South America,Europe","[""Adult"",""Older Adult""]","Week 12","OPA",2,"1",212,280.2,160.5,"PCV15+PPV23","1m post dose 2 adult","2 dose adult",0
"545","NCT03480802","Merck Sharp & Dohme LLC","Phase 3","North America,Africa,Europe,Asia,North America,North America,North America,Asia,Africa,South America,Europe,South America,Europe","[""Adult"",""Older Adult""]","Week 12","OPA",2,"19F",2230.7,2759,1803.6,"PCV15+PPV23","1m post dose 2 adult","2 dose adult",0
"546","NCT03480802","Merck Sharp & Dohme LLC","Phase 3","North America,Africa,Europe,Asia,North America,North America,North America,Asia,Africa,South America,Europe,South America,Europe","[""Adult"",""Older Adult""]","Week 12","OPA",2,"3",102.8,127.2,83,"PCV15+PPV23","1m post dose 2 adult","2 dose adult",0
"547","NCT03480802","Merck Sharp & Dohme LLC","Phase 3","North America,Africa,Europe,Asia,North America,North America,North America,Asia,Africa,South America,Europe,South America,Europe","[""Adult"",""Older Adult""]","Week 12","OPA",2,"7F",5983.5,7476.1,4788.9,"PCV15+PPV23","1m post dose 2 adult","2 dose adult",0
"548","NCT03480802","Merck Sharp & Dohme LLC","Phase 3","North America,Africa,Europe,Asia,North America,North America,North America,Asia,Africa,South America,Europe,South America,Europe","[""Adult"",""Older Adult""]","Week 12","OPA",2,"5",418.1,560.3,312.1,"PCV15+PPV23","1m post dose 2 adult","2 dose adult",0
"549","NCT03480802","Merck Sharp & Dohme LLC","Phase 3","North America,Africa,Europe,Asia,North America,North America,North America,Asia,Africa,South America,Europe,South America,Europe","[""Adult"",""Older Adult""]","Week 12","OPA",2,"14",3634,4498.5,2935.6,"PCV15+PPV23","1m post dose 2 adult","2 dose adult",0
"550","NCT03480802","Merck Sharp & Dohme LLC","Phase 3","North America,Africa,Europe,Asia,North America,North America,North America,Asia,Africa,South America,Europe,South America,Europe","[""Adult"",""Older Adult""]","Week 12","OPA",2,"14",2539.3,3288.9,1960.6,"PCV13+PPV23","1m post dose 2 adult","2 dose adult",0
"551","NCT03480802","Merck Sharp & Dohme LLC","Phase 3","North America,Africa,Europe,Asia,North America,North America,North America,Asia,Africa,South America,Europe,South America,Europe","[""Adult"",""Older Adult""]","Week 12","OPA",2,"4",984.7,1255.7,772.1,"PCV13+PPV23","1m post dose 2 adult","2 dose adult",0
"552","NCT03480802","Merck Sharp & Dohme LLC","Phase 3","North America,Africa,Europe,Asia,North America,North America,North America,Asia,Africa,South America,Europe,South America,Europe","[""Adult"",""Older Adult""]","Week 12","OPA",2,"23F",1641.2,2212.9,1217.2,"PCV15+PPV23","1m post dose 2 adult","2 dose adult",0
"553","NCT03480802","Merck Sharp & Dohme LLC","Phase 3","North America,Africa,Europe,Asia,North America,North America,North America,Asia,Africa,South America,Europe,South America,Europe","[""Adult"",""Older Adult""]","Week 12","OPA",2,"3",96.6,117.4,79.5,"PCV13+PPV23","1m post dose 2 adult","2 dose adult",0
"554","NCT03480802","Merck Sharp & Dohme LLC","Phase 3","North America,Africa,Europe,Asia,North America,North America,North America,Asia,Africa,South America,Europe,South America,Europe","[""Adult"",""Older Adult""]","Week 12","OPA",2,"1",154,212.4,111.6,"PCV13+PPV23","1m post dose 2 adult","2 dose adult",0
"555","NCT03480802","Merck Sharp & Dohme LLC","Phase 3","North America,Africa,Europe,Asia,North America,North America,North America,Asia,Africa,South America,Europe,South America,Europe","[""Adult"",""Older Adult""]","Week 12","OPA",2,"6A",4593.2,5954.7,3543,"PCV13+PPV23","1m post dose 2 adult","2 dose adult",0
"556","NCT03480802","Merck Sharp & Dohme LLC","Phase 3","North America,Africa,Europe,Asia,North America,North America,North America,Asia,Africa,South America,Europe,South America,Europe","[""Adult"",""Older Adult""]","Week 12","OPA",2,"7F",5516.5,6729.5,4522.2,"PCV13+PPV23","1m post dose 2 adult","2 dose adult",0
"557","NCT03480802","Merck Sharp & Dohme LLC","Phase 3","North America,Africa,Europe,Asia,North America,North America,North America,Asia,Africa,South America,Europe,South America,Europe","[""Adult"",""Older Adult""]","Week 12","OPA",2,"9V",1929.9,2375.7,1567.7,"PCV13+PPV23","1m post dose 2 adult","2 dose adult",0
"558","NCT03480802","Merck Sharp & Dohme LLC","Phase 3","North America,Africa,Europe,Asia,North America,North America,North America,Asia,Africa,South America,Europe,South America,Europe","[""Adult"",""Older Adult""]","Week 12","OPA",2,"22F",3399.9,4285,2697.6,"PCV15+PPV23","1m post dose 2 adult","2 dose adult",0
"559","NCT03480802","Merck Sharp & Dohme LLC","Phase 3","North America,Africa,Europe,Asia,North America,North America,North America,Asia,Africa,South America,Europe,South America,Europe","[""Adult"",""Older Adult""]","Week 12","OPA",2,"18C",2511.5,3220.3,1958.7,"PCV15+PPV23","1m post dose 2 adult","2 dose adult",0
"560","NCT03480802","Merck Sharp & Dohme LLC","Phase 3","North America,Africa,Europe,Asia,North America,North America,North America,Asia,Africa,South America,Europe,South America,Europe","[""Adult"",""Older Adult""]","Week 12","OPA",2,"18C",1753.8,2153.1,1428.6,"PCV13+PPV23","1m post dose 2 adult","2 dose adult",0
"561","NCT03480802","Merck Sharp & Dohme LLC","Phase 3","North America,Africa,Europe,Asia,North America,North America,North America,Asia,Africa,South America,Europe,South America,Europe","[""Adult"",""Older Adult""]","Week 12","OPA",2,"9V",2454.8,3000,2008.7,"PCV15+PPV23","1m post dose 2 adult","2 dose adult",0
"562","NCT03480802","Merck Sharp & Dohme LLC","Phase 3","North America,Africa,Europe,Asia,North America,North America,North America,Asia,Africa,South America,Europe,South America,Europe","[""Adult"",""Older Adult""]","Week 12","OPA",2,"22F",2952.7,3949.1,2207.7,"PCV13+PPV23","1m post dose 2 adult","2 dose adult",0
"563","NCT03480802","Merck Sharp & Dohme LLC","Phase 3","North America,Africa,Europe,Asia,North America,North America,North America,Asia,Africa,South America,Europe,South America,Europe","[""Adult"",""Older Adult""]","Week 12","OPA",2,"4",915.4,1159.1,722.9,"PCV15+PPV23","1m post dose 2 adult","2 dose adult",0
"564","NCT03480802","Merck Sharp & Dohme LLC","Phase 3","North America,Africa,Europe,Asia,North America,North America,North America,Asia,Africa,South America,Europe,South America,Europe","[""Adult"",""Older Adult""]","Week 12","OPA",2,"19A",3300.3,4127.7,2638.7,"PCV13+PPV23","1m post dose 2 adult","2 dose adult",0
"565","NCT03480802","Merck Sharp & Dohme LLC","Phase 3","North America,Africa,Europe,Asia,North America,North America,North America,Asia,Africa,South America,Europe,South America,Europe","[""Adult"",""Older Adult""]","Week 12","OPA",2,"5",274.5,376.8,199.9,"PCV13+PPV23","1m post dose 2 adult","2 dose adult",0
"566","NCT03480802","Merck Sharp & Dohme LLC","Phase 3","North America,Africa,Europe,Asia,North America,North America,North America,Asia,Africa,South America,Europe,South America,Europe","[""Adult"",""Older Adult""]","Week 12","OPA",2,"19F",1994.1,2438.4,1630.7,"PCV13+PPV23","1m post dose 2 adult","2 dose adult",0
"567","NCT03480802","Merck Sharp & Dohme LLC","Phase 3","North America,Africa,Europe,Asia,North America,North America,North America,Asia,Africa,South America,Europe,South America,Europe","[""Adult"",""Older Adult""]","Week 12","OPA",2,"19A",3358.1,4208.4,2679.6,"PCV15+PPV23","1m post dose 2 adult","2 dose adult",0
"568","NCT03480802","Merck Sharp & Dohme LLC","Phase 3","North America,Africa,Europe,Asia,North America,North America,North America,Asia,Africa,South America,Europe,South America,Europe","[""Adult"",""Older Adult""]","Week 12","OPA",2,"6B",2826.4,3626.8,2202.7,"PCV13+PPV23","1m post dose 2 adult","2 dose adult",0
